Month   Sales
2015-01-01 66.0
2015-02-01 145.9
2015-03-01 183.1
2015-04-01 119.3
2015-05-01 180.3
2015-06-01 166.0
2015-07-01 200.9
2015-08-01 189.1
2015-09-01 119.3
2015-10-01 380.3
2015-11-01 276.0
2015-12-01 345.9
2016-01-01 100.0
2016-02-01 145.9
2016-03-01 183.1
2016-04-01 119.3
2016-05-01 180.3
2016-06-01 266.0
2016-07-01 245.9
2016-08-01 183.1
2016-09-01 219.3
2016-10-01 480.3
2016-11-01 516.0
2016-12-01 645.9
2017-01-01 166.0
2017-02-01 245.9
2017-03-01 183.1
2017-04-01 119.3
2017-05-01 180.3
2017-06-01 166.0
2017-07-01 145.9
2017-08-01 183.1
2017-09-01 119.3
2017-10-01 380.3
2017-11-01 466.0
2017-12-01 545.9
